"Name","Value"
"210","12170"
"gt-1030","24390"
"gt-710","12000"
"gt-730","19780"
"gtx-1050","54990"
"gtx-1050-ti","51275"
"gtx-1060","174701"
"gtx-1070",
"gtx-1650","66990"
"gtx-1650-super","134946"
"gtx-1660",
"gtx-1660-super","99140"
"gtx-1660-ti","119322"
"p1000","115912"
"p2000","170580"
"p2200","168530"
"p4000","274900"
"p620","64654"
"r7-240","27840"
"rtx-2060",
"rtx-2080-ti","399990"
"rtx-3060-ti","299990"
"rtx-3070","304990"
"rtx-3080",
"rtx-3090","735330"
"rtx-4000","336027"
"rtx-5000","786520"
"rtx-6000","1772368"
"rx-550","29630"
"rx-5500-xt",
"rx-5600","177000"
"rx-5600-xt",
"rx-570",
"rx-5700",
"rx-580",
"rx-6800","435900"
"wx-2100","52790"
"wx-3100","67490"
"wx-3200","69780"
"wx-4100","103990"
"wx-5100","153630"
"wx-7100","427566"
"wx-8200","401900"
