"Name","Value"
"210","20210"
"gt-1030","40310"
"gt-710","21391"
"gt-730","28980"
"gtx-1050-ti","74540"
"gtx-1060","154250"
"gtx-1630","72390"
"gtx-1650","76520"
"gtx-1650-super","118900"
"gtx-1660","113440"
"gtx-1660-super","111830"
"gtx-1660-ti","120000"
"p1000","169379"
"p2000","242640"
"p2200","234890"
"p400","54990"
"p620",
"r7-240","46786"
"rtx-2060","125580"
"rtx-2060-super","142260"
"rtx-3050","127000"
"rtx-3060","152590"
"rtx-3060-ti","199990"
"rtx-3070","252390"
"rtx-3070-ti","299660"
"rtx-3080","359990"
"rtx-3080-ti","444499"
"rtx-3090","481990"
"rtx-3090-ti","629300"
"rtx-4000","460090"
"rtx-4080","749990"
"rtx-4090","895990"
"rtx-5000","702158"
"rx-550","39337"
"rx-560","68290"
"rx-580","75176"
"rx-6400","67940"
"rx-6500-xt","86330"
"rx-6600","121270"
"rx-6600-xt","185000"
"rx-6650-xt","163790"
"rx-6700","175240"
"rx-6700-xt","210790"
"rx-6750-xt","219590"
"rx-6800","255000"
"rx-6800-xt","289991"
"rx-6900-xt","349990"
"rx-6950-xt","404000"
"wx-2100","73550"
"wx-3100","100990"
"wx-3200","102860"
"wx-5100","194330"
"wx-8200","382390"
