"Name","Value"
"210","13920"
"gt-1030","36320"
"gt-710","30120"
"gt-730","22750"
"gtx-1050-ti","83990"
"gtx-1060","193750"
"gtx-1650","93590"
"gtx-1650-super","179990"
"gtx-1660","151690"
"gtx-1660-super","161995"
"gtx-1660-ti","159990"
"p1000","129360"
"p2000","220490"
"p2200","226550"
"p400","40731"
"p620","71080"
"r7-240","47890"
"rtx-2060","181091"
"rtx-2060-super","264580"
"rtx-3050","168600"
"rtx-3060","211290"
"rtx-3060-ti","281800"
"rtx-3070","325000"
"rtx-3070-ti","371550"
"rtx-3080","495220"
"rtx-3080-ti","619900"
"rtx-3090","962460"
"rtx-4000","377690"
"rtx-5000","752431"
"rtx-6000","1584603"
"rtx-8000","2812920"
"rx-550","47990"
"rx-560","89630"
"rx-580","199900"
"rx-6500-xt","101130"
"rx-6600","171160"
"rx-6600-xt","211320"
"rx-6700-xt","306390"
"rx-6800","441130"
"rx-6800-xt","479900"
"rx-6900-xt","564280"
"wx-2100","112589"
"wx-7100",
