"Name","Value"
"210","18350"
"a380","48380"
"a750","102890"
"a770","125390"
"gt-1030","29310"
"gt-710","15700"
"gt-730","21330"
"gtx-1050-ti","59990"
"gtx-1630","48650"
"gtx-1650","62530"
"gtx-1660","97990"
"gtx-1660-super","90830"
"gtx-1660-ti","108071"
"p1000","118809"
"p2000","236390"
"p2200","258900"
"p400","54900"
"r7-240","31326"
"rtx-2060","64900"
"rtx-2060-super","211901"
"rtx-2070","120950"
"rtx-3050","93554"
"rtx-3060","115990"
"rtx-3060-ti","148361"
"rtx-3070","169999"
"rtx-3070-ti","203520"
"rtx-3080","307476"
"rtx-3080-ti","349330"
"rtx-3090","671290"
"rtx-4000","690590"
"rtx-4060","123500"
"rtx-4060-ti","165590"
"rtx-4070","252290"
"rtx-4070-ti","349890"
"rtx-4080","480420"
"rtx-4090","693290"
"rtx-a2000","194102"
"rtx-a4000","209169"
"rtx-a4500","498990"
"rtx-a5000","1021248"
"rtx-a6000","2161320"
"rx-550","31070"
"rx-560","39820"
"rx-580","124900"
"rx-6400","58500"
"rx-6500-xt","68170"
"rx-6600","81150"
"rx-6600-xt","148544"
"rx-6650-xt","99950"
"rx-6700","120750"
"rx-6700-xt","137160"
"rx-6750-xt","165900"
"rx-6800","203890"
"rx-6800-xt","229484"
"rx-6900-xt","217689"
"rx-6950-xt","341230"
"rx-7600","114250"
"rx-7700-xt","200540"
"rx-7800-xt","230990"
"rx-7900-xt","336460"
"rx-7900-xtx","407120"
"w7600","271849"
"w7800","1113890"
"w7900","1823019"
"wx-3200","73770"
"wx-5100","93111"
