"Name","Value"
"210","18960"
"gt-1030","41750"
"gt-710","22950"
"gt-730","28546"
"gtx-1050-ti","76885"
"gtx-1060","193750"
"gtx-1630","75220"
"gtx-1650","80630"
"gtx-1650-super","97524"
"gtx-1660","114508"
"gtx-1660-super","117160"
"gtx-1660-ti","129990"
"p1000","144820"
"p2000","217550"
"p2200","248010"
"p400","44900"
"p620","73900"
"r7-240","46786"
"rtx-2060","140860"
"rtx-2060-super","180280"
"rtx-3050","134660"
"rtx-3060","174200"
"rtx-3060-ti","215530"
"rtx-3070","248120"
"rtx-3070-ti","276090"
"rtx-3080","368510"
"rtx-3080-ti","439890"
"rtx-3090","497500"
"rtx-3090-ti","604020"
"rtx-4000","422980"
"rtx-5000","759714"
"rtx-8000","3350687"
"rx-550","53818"
"rx-560","66990"
"rx-580","97762"
"rx-6400","69410"
"rx-6500-xt","84890"
"rx-6600","139000"
"rx-6600-xt","167760"
"rx-6650-xt","179520"
"rx-6700-xt","182700"
"rx-6750-xt","249900"
"rx-6800","275000"
"rx-6800-xt","332890"
"rx-6900-xt","382500"
"rx-6950-xt","559900"
"wx-2100","70790"
"wx-3100","101290"
"wx-3200","80020"
"wx-5100","229380"
"wx-8200","463000"
