"Name","Value"
"210","15780"
"a380","45960"
"a580","73266"
"a750","93000"
"a770","125990"
"gt-1030","29172"
"gt-710","16150"
"gt-730","19220"
"gtx-1050-ti","73700"
"gtx-1630","48140"
"gtx-1650","60900"
"gtx-1660","117995"
"gtx-1660-super","104580"
"gtx-1660-ti","156413"
"p1000","110782"
"p2000","209809"
"p2200","287631"
"p400","57901"
"r7-240","29730"
"rtx-2060","114990"
"rtx-2060-super","228190"
"rtx-3050","89995"
"rtx-3060","109990"
"rtx-3060-ti","160998"
"rtx-3070","183600"
"rtx-3070-ti","258870"
"rtx-3080","316060"
"rtx-3080-ti","429990"
"rtx-3090","959000"
"rtx-4000","412874"
"rtx-4060","122930"
"rtx-4060-ti","165850"
"rtx-4070","226090"
"rtx-4070-ti","314890"
"rtx-4080","468290"
"rtx-4090","789790"
"rtx-4500","1326000"
"rtx-5000","915050"
"rtx-6000","1140496"
"rtx-8000","3245385"
"rtx-a2000","209207"
"rtx-a4000","459280"
"rtx-a4500","750590"
"rtx-a5000","1045895"
"rtx-a6000","2069390"
"rx-550","35180"
"rx-560","46900"
"rx-580","124900"
"rx-6400","49170"
"rx-6500-xt","70990"
"rx-6600","85910"
"rx-6600-xt","149995"
"rx-6700","113090"
"rx-6700-xt","142210"
"rx-6750-xt","148590"
"rx-6800","166990"
"rx-6800-xt","222990"
"rx-6900-xt","279999"
"rx-7600","108000"
"rx-7700-xt","189500"
"rx-7800-xt","216940"
"rx-7900","252900"
"rx-7900-xt","312940"
"rx-7900-xtx","409919"
"w7600","260389"
"w7800","1019220"
"w7900","1671400"
"wx-2100","87932"
"wx-3100","101383"
"wx-3200","77199"
"wx-5100","121498"
"wx-7100","340796"
