"Name","Value"
"210","14760"
"a380",
"a580","81290"
"a750","81890"
"a770","99990"
"gt-1030","29170"
"gt-710","17240"
"gt-730","21520"
"gtx-1050-ti","89995"
"gtx-1630","56589"
"gtx-1650","64990"
"gtx-1660","97990"
"gtx-1660-super","98890"
"gtx-1660-ti","85599"
"p1000","114465"
"p2000","215869"
"p2200",
"p400","57901"
"r7-240","30310"
"rtx-2060","102300"
"rtx-2060-super","229990"
"rtx-3050","94082"
"rtx-3060",
"rtx-3060-ti","144999"
"rtx-3070","169999"
"rtx-3070-ti","253539"
"rtx-3080","254987"
"rtx-3080-ti","357199"
"rtx-3090","959000"
"rtx-4000","608108"
"rtx-4060","125255"
"rtx-4060-ti","162790"
"rtx-4070","245490"
"rtx-4070-ti","345890"
"rtx-4080","489100"
"rtx-4090","802390"
"rtx-a2000","200290"
"rtx-a4000","201549"
"rtx-a4500","448990"
"rtx-a5000","960419"
"rtx-a6000","2025512"
"rx-550","30820"
"rx-560",
"rx-580","124900"
"rx-6400","52059"
"rx-6500-xt","66200"
"rx-6600","81990"
"rx-6600-xt","96299"
"rx-6650-xt","98290"
"rx-6700","122590"
"rx-6700-xt","135990"
"rx-6750-xt","150990"
"rx-6800","176990"
"rx-6800-xt","222990"
"rx-6900-xt","239999"
"rx-7600","113090"
"rx-7700-xt",
"rx-7800-xt","219989"
"rx-7900","252490"
"rx-7900-xt","322990"
"rx-7900-xtx","399567"
"w7600","251524"
"w7800","982990"
"w7900",
"wx-3200","74990"
"wx-5100","228887"
