"Name","Value"
"210","21270"
"a380","65400"
"a750","116460"
"a770","135660"
"gt-1030","31870"
"gt-710","19870"
"gt-730","23999"
"gtx-1050-ti","71806"
"gtx-1060","99900"
"gtx-1630","53890"
"gtx-1650","66620"
"gtx-1650-super","107653"
"gtx-1660","99919"
"gtx-1660-super","94900"
"gtx-1660-ti","97330"
"p1000","163984"
"p2000","226290"
"p2200","240280"
"p400","54900"
"r7-240","27960"
"rtx-2060","113980"
"rtx-2060-super","161990"
"rtx-3050","115170"
"rtx-3060","127310"
"rtx-3060-ti","175799"
"rtx-3070","220030"
"rtx-3070-ti","243830"
"rtx-3080","336990"
"rtx-3080-ti","585090"
"rtx-3090","849990"
"rtx-4000","441440"
"rtx-4070-ti","369799"
"rtx-4080","538290"
"rtx-4090","726190"
"rtx-5000","699770"
"rtx-6000","2124467"
"rtx-a2000","200122"
"rtx-a4000","436580"
"rtx-a4500","669990"
"rtx-a5000","1126620"
"rtx-a5500","1981080"
"rtx-a6000","2384810"
"rx-550","34500"
"rx-560","55130"
"rx-570","145990"
"rx-580","164990"
"rx-6400","57800"
"rx-6500-xt","67890"
"rx-6600","107560"
"rx-6600-xt","132350"
"rx-6650-xt","129990"
"rx-6700","136820"
"rx-6700-xt","172890"
"rx-6750-xt","181890"
"rx-6800","217700"
"rx-6800-xt","269900"
"rx-6900-xt","336901"
"rx-6950-xt","376207"
"rx-7900-xt","374890"
"rx-7900-xtx","460580"
"wx-2100","77901"
"wx-3100","92760"
"wx-3200","81161"
"wx-5100","132079"
"wx-8200","343290"
