"Name","Value"
"210","27800"
"a380","65040"
"a750","119070"
"a770","140670"
"gt-1030","31880"
"gt-710","18600"
"gt-730","26260"
"gtx-1050-ti","68900"
"gtx-1060","99900"
"gtx-1630","55400"
"gtx-1650","68000"
"gtx-1650-super","105600"
"gtx-1660","99919"
"gtx-1660-super","97330"
"gtx-1660-ti","100970"
"p1000","162317"
"p2000","222210"
"p2200","235520"
"p400","53360"
"r7-240","28060"
"rtx-2060","114390"
"rtx-2060-super","161990"
"rtx-3050","113580"
"rtx-3060","124940"
"rtx-3060-ti","172650"
"rtx-3070","220030"
"rtx-3070-ti","247730"
"rtx-3080","334110"
"rtx-3080-ti","799990"
"rtx-3090","635890"
"rtx-4000","433520"
"rtx-4070-ti","359900"
"rtx-4080","527590"
"rtx-4090","720590"
"rtx-5000","699770"
"rtx-a2000","198643"
"rtx-a4000","436580"
"rtx-a4500","645900"
"rtx-a5000","995737"
"rtx-a5500","1982221"
"rtx-a6000","2376890"
"rx-550","34090"
"rx-560","55430"
"rx-570","145990"
"rx-580","164990"
"rx-6400","57800"
"rx-6500-xt","68790"
"rx-6600","110349"
"rx-6600-xt","130000"
"rx-6650-xt","128690"
"rx-6700","136050"
"rx-6700-xt","164260"
"rx-6750-xt","183130"
"rx-6800","244290"
"rx-6800-xt","269900"
"rx-6900-xt","349900"
"rx-6950-xt","364874"
"rx-7900-xt","371680"
"rx-7900-xtx","472700"
"wx-2100","76900"
"wx-3100","92497"
"wx-3200","80936"
"wx-5100","131710"
"wx-8200","346580"
