"Name","Value"
"210","14740"
"a310","40930"
"a380","50460"
"a580","76990"
"a750","78990"
"a770","121000"
"gt-1030","27990"
"gt-210","12670"
"gt-610","15370"
"gt-710","15500"
"gt-730","20070"
"gtx-1050-ti","61430"
"gtx-1650","57990"
"gtx-1660","99995"
"gtx-1660-super","174900"
"gtx-1660-ti","87230"
"p1000","128120"
"p2000","235010"
"p2200","201680"
"p400","77998"
"r7-240","28560"
"rtx-2000","320250"
"rtx-2060","125995"
"rtx-3050","74210"
"rtx-3060","108680"
"rtx-3060-ti","149990"
"rtx-3070","180890"
"rtx-3070-ti","234999"
"rtx-3080","260330"
"rtx-3080-ti","343900"
"rtx-3090","506672"
"rtx-3090-ti","567589"
"rtx-4000","476471"
"rtx-4060","113090"
"rtx-4060-ti","152700"
"rtx-4070","225000"
"rtx-4070-super","244290"
"rtx-4070-ti","286990"
"rtx-4070-ti-super","346050"
"rtx-4080","441250"
"rtx-4080-super","435660"
"rtx-4090","732730"
"rtx-4500","1228000"
"rtx-5000","749999"
"rtx-6000","1293906"
"rtx-8000","2930680"
"rtx-a1000","181340"
"rtx-a2000","194180"
"rtx-a4000","433090"
"rtx-a4500","825249"
"rtx-a5000","1107059"
"rtx-a5500","2382420"
"rtx-a6000","1993550"
"rx-550","30800"
"rx-5500-xt","87029"
"rx-560","48290"
"rx-570","80450"
"rx-6400","51800"
"rx-6500-xt","62040"
"rx-6600","81708"
"rx-6600-xt","159990"
"rx-6650-xt","119890"
"rx-6700-xt","155000"
"rx-6750-xt","149990"
"rx-6800","149990"
"rx-6800-xt","209989"
"rx-6900-xt","413794"
"rx-6950-xt","283690"
"rx-7600","108990"
"rx-7600-xt","127390"
"rx-7700-xt","175900"
"rx-7800-xt","212940"
"rx-7900","246780"
"rx-7900-gre","240000"
"rx-7900-xt","311900"
"rx-7900-xtx","395000"
"t1000","132860"
"t400","53900"
"t600","139330"
"w5500","155423"
"w5700","101850"
"w6400","88990"
"w6600","118990"
"w6800","605560"
"w7500","186510"
"w7600","258330"
"w7800","1016780"
"w7900","1592880"
"wx-2100","92170"
"wx-3100","171006"
"wx-3200","61291"
"wx-5100","142016"
"wx-7100","384246"
"wx-8200","276930"
