"Name","Value"
"210","12030"
"gt-1030","24990"
"gt-710","12000"
"gt-730","20080"
"gtx-1050","54990"
"gtx-1050-ti","61631"
"gtx-1060","174701"
"gtx-1650","71600"
"gtx-1650-super","133789"
"gtx-1660","124990"
"gtx-1660-super","134990"
"gtx-1660-ti","118140"
"p1000","121000"
"p2000","170150"
"p2200","165740"
"p4000","274900"
"p620","64699"
"r7-240","27840"
"rtx-2080-ti","499990"
"rtx-3060-ti",
"rtx-3070","344990"
"rtx-3080","529990"
"rtx-3090","771990"
"rtx-4000","338000"
"rtx-5000","786520"
"rtx-6000","1772024"
"rtx-8000",
"rx-550","29520"
"rx-5500-xt","85500"
"rx-5600","227660"
"rx-570","126760"
"rx-5700-xt","327699"
"rx-580","153471"
"rx-6800","389900"
"wx-2100","52790"
"wx-3100","79190"
"wx-3200","72100"
"wx-4100","103990"
"wx-5100","146790"
"wx-7100","284239"
"wx-8200","403680"
