"Name","Value"
"gt-1030","28690"
"gt-710","17590"
"gt-730","21710"
"gtx-1050-ti","95500"
"gtx-1650","114990"
"gtx-1650-super","187760"
"gtx-1660","179000"
"gtx-1660-super","229995"
"gtx-1660-ti","222890"
"p1000","129900"
"p2000","203590"
"p2200","174799"
"p400","50390"
"p4000","344910"
"p620","67920"
"rtx-2060","222790"
"rtx-2060-super","333040"
"rtx-3060","299995"
"rtx-3060-ti","365582"
"rtx-3070","353740"
"rtx-3070-ti","399990"
"rtx-3080","505980"
"rtx-3080-ti","638300"
"rtx-3090","1199990"
"rtx-4000","389870"
"rtx-5000","794240"
"rtx-6000","1559700"
"rtx-8000","990550"
"rx-550","52410"
"rx-5500-xt","263950"
"rx-560","69990"
"rx-5600-xt","399900"
"rx-570","176700"
"rx-5700-xt","390961"
"rx-580","198370"
"rx-6600-xt","280850"
"rx-6700-xt","352900"
"rx-6800","661350"
"rx-6800-xt","548550"
"rx-6900-xt","528220"
"wx-2100","122542"
"wx-3100","163346"
"wx-5100","167180"
"wx-7100","480162"
"wx-8200","467410"
