"Name","Value"
"210","15870"
"a380","45390"
"a580","74168"
"a750","93000"
"a770","124651"
"gt-1030","29166"
"gt-710","16370"
"gt-730","18240"
"gtx-1630","67869"
"gtx-1650","62485"
"gtx-1660","97990"
"gtx-1660-super","98890"
"gtx-1660-ti","139990"
"p1000","110782"
"p2000","234070"
"p400","56900"
"r7-240","30124"
"rtx-2060","116990"
"rtx-2060-super","229680"
"rtx-3050","86120"
"rtx-3060","109990"
"rtx-3060-ti","124990"
"rtx-3070","199995"
"rtx-3070-ti","259999"
"rtx-3080","301714"
"rtx-3080-ti","429990"
"rtx-3090","959000"
"rtx-4000","594208"
"rtx-4060","124390"
"rtx-4060-ti","165000"
"rtx-4070","241550"
"rtx-4070-ti","335460"
"rtx-4080","457580"
"rtx-4090","805770"
"rtx-a2000","214683"
"rtx-a4000","220599"
"rtx-a4500","445675"
"rtx-a5000","1008063"
"rtx-a6000","2053110"
"rx-550","32370"
"rx-560","46770"
"rx-580","124900"
"rx-6400","47900"
"rx-6500-xt","70280"
"rx-6600","81990"
"rx-6600-xt","149995"
"rx-6650-xt","112270"
"rx-6700","113290"
"rx-6700-xt","143990"
"rx-6750-xt","145590"
"rx-6800","166590"
"rx-6800-xt","222406"
"rx-6900-xt","279999"
"rx-7600","109780"
"rx-7700-xt","187640"
"rx-7800-xt","213580"
"rx-7900","279280"
"rx-7900-xt","323590"
"rx-7900-xtx","405140"
"w7600","256189"
"w7800","963670"
"w7900","1558940"
"wx-3200","75590"
