"Name","Value"
"210","16926"
"a310","48590"
"a380","50646"
"a580","84220"
"a750","81690"
"a770","119104"
"gt-1030","28500"
"gt-210","14460"
"gt-610","7530"
"gt-710","15300"
"gt-730","21650"
"gtx-1050","41159"
"gtx-1050-ti","62910"
"gtx-1630","59377"
"gtx-1650","57210"
"gtx-1660","90000"
"gtx-1660-super","123900"
"p1000","115690"
"p2200","207380"
"p400","93243"
"r7-240","31100"
"rtx-2000","301510"
"rtx-2060","125995"
"rtx-3050","73560"
"rtx-3060","108230"
"rtx-3060-ti","152960"
"rtx-3070","196150"
"rtx-3070-ti","229990"
"rtx-3090","450000"
"rtx-4000","299999"
"rtx-4060","113490"
"rtx-4060-ti","153990"
"rtx-4070","230930"
"rtx-4070-super","230490"
"rtx-4070-ti","307238"
"rtx-4070-ti-super","339695"
"rtx-4080","404850"
"rtx-4080-super","438990"
"rtx-4090","768204"
"rtx-4500","1186900"
"rtx-5000","699899"
"rtx-6000","2037754"
"rtx-8000","2877458"
"rtx-a1000","175380"
"rtx-a2000","223040"
"rtx-a4000","429900"
"rtx-a4500","877499"
"rtx-a5000","1100190"
"rtx-a6000","2047990"
"rx-550","29510"
"rx-5500-xt","90206"
"rx-560","50260"
"rx-570","82970"
"rx-580","79900"
"rx-6400","46600"
"rx-6500-xt","62800"
"rx-6600","81400"
"rx-6600-xt","159990"
"rx-6650-xt","98390"
"rx-6700-xt","174289"
"rx-6750-xt","134490"
"rx-6800","155990"
"rx-6800-xt","209989"
"rx-6950-xt","271730"
"rx-7600","109460"
"rx-7600-xt","138240"
"rx-7700-xt","169900"
"rx-7800-xt","204490"
"rx-7900-gre","239900"
"rx-7900-xt","299526"
"rx-7900-xtx","398100"
"t1000","131660"
"t400","62030"
"t600","303609"
"w5700","104508"
"w6400","77990"
"w7500","154990"
"w7600","227990"
"w7700","391990"
"w7800","853650"
"w7900","1347410"
"wx-3100","107090"
"wx-3200","51074"
"wx-5100","160534"
"wx-7100","379794"
