"Name","Value"
"210","12070"
"gt-1030","29899"
"gt-710","11179"
"gt-730","19080"
"gtx-1050-ti","69899"
"gtx-1060","169762"
"gtx-1650","78600"
"gtx-1650-super","130900"
"gtx-1660","177210"
"gtx-1660-super","189000"
"p1000","121170"
"p2000","159620"
"p2200","156900"
"p400","43280"
"p4000","306180"
"p620","67670"
"r7-240","27870"
"rtx-2060","249990"
"rtx-3060-ti","545990"
"rtx-3070","519000"
"rtx-3080","959990"
"rtx-4000","359940"
"rtx-5000","753170"
"rtx-6000","2020480"
"rtx-8000","2932670"
"rx-550","30349"
"rx-5500-xt",
"rx-570","227470"
"rx-5700-xt","472190"
"rx-580","135990"
"rx-6800","539990"
"rx-6800-xt","629481"
"rx-6900-xt","639990"
"wx-2100","52990"
"wx-3100","169346"
"wx-3200","77900"
"wx-4100","119750"
