"Name","Value"
"210","12090"
"gt-1030","25970"
"gt-710","11900"
"gt-730","19880"
"gtx-1050","54780"
"gtx-1050-ti","58558"
"gtx-1060","174701"
"gtx-1650","70270"
"gtx-1650-super","109900"
"gtx-1660","119900"
"gtx-1660-super","139990"
"gtx-1660-ti","102246"
"p1000","121000"
"p2000","168450"
"p2200","164080"
"p4000","274900"
"p620","64699"
"r7-240","27560"
"rtx-2060",
"rtx-2080-super","356390"
"rtx-2080-ti","499990"
"rtx-3060-ti","359990"
"rtx-3070","329900"
"rtx-3080",
"rtx-3090","769990"
"rtx-4000","345280"
"rtx-5000","778650"
"rtx-6000","1754300"
"rtx-8000","2080020"
"rx-550","27189"
"rx-5500-xt","105875"
"rx-5600",
"rx-570","125490"
"rx-580","120520"
"rx-6800","392580"
"wx-2100","52890"
"wx-3100","79190"
"wx-3200","72280"
"wx-4100","104990"
"wx-5100","146990"
"wx-7100","283962"
"wx-8200","407340"
