"Name","Value"
"210","15950"
"gt-1030","38390"
"gt-710","30120"
"gt-730","27470"
"gtx-1050-ti","74390"
"gtx-1060","193750"
"gtx-1650","90990"
"gtx-1650-super","118490"
"gtx-1660","148190"
"gtx-1660-super","148000"
"gtx-1660-ti","155290"
"p1000","132120"
"p2000","197197"
"p2200","226562"
"p400","52000"
"p620","71630"
"r7-240","47901"
"rtx-2060","168160"
"rtx-2060-super","254730"
"rtx-3050","167890"
"rtx-3060","208800"
"rtx-3060-ti","274090"
"rtx-3070","300920"
"rtx-3070-ti","335660"
"rtx-3080","472588"
"rtx-3080-ti","562440"
"rtx-3090","817680"
"rtx-4000","355770"
"rtx-5000","736770"
"rtx-6000","1582611"
"rtx-8000","2528250"
"rx-550","47990"
"rx-560","74970"
"rx-6500-xt","97170"
"rx-6600","184100"
"rx-6600-xt","221670"
"rx-6700-xt","281690"
"rx-6800","434120"
"rx-6800-xt","464330"
"rx-6900-xt","528700"
"wx-2100","75900"
"wx-3100","98300"
