"Name","Value"
"210","21570"
"gt-1030","40717"
"gt-710","22160"
"gt-730","28900"
"gtx-1050-ti","84900"
"gtx-1060","151170"
"gtx-1630","68370"
"gtx-1650","79990"
"gtx-1650-super","112900"
"gtx-1660","114830"
"gtx-1660-super","114830"
"gtx-1660-ti","120000"
"p1000","166483"
"p2000","226260"
"p2200","234220"
"p400","54990"
"r7-240","46786"
"rtx-2060","132650"
"rtx-2060-super","139070"
"rtx-3050","127000"
"rtx-3060","148400"
"rtx-3060-ti","168590"
"rtx-3070","244900"
"rtx-3070-ti","299990"
"rtx-3080","379290"
"rtx-3080-ti","469932"
"rtx-3090","640500"
"rtx-3090-ti","676700"
"rtx-4000","467670"
"rtx-4080","696570"
"rtx-4090","889990"
"rtx-5000","679390"
"rx-550","38932"
"rx-560","76010"
"rx-580","77464"
"rx-6400","63501"
"rx-6500-xt","81566"
"rx-6600","121575"
"rx-6600-xt","168976"
"rx-6650-xt","156000"
"rx-6700","163230"
"rx-6700-xt","186530"
"rx-6750-xt","219990"
"rx-6800","237000"
"rx-6800-xt","248859"
"rx-6900-xt","349990"
"rx-6950-xt","404000"
"wx-2100","73550"
"wx-3100","97890"
"wx-3200","102160"
"wx-5100","185520"
"wx-8200","378390"
