"Name","Value"
"gt-1030","29990"
"gt-710","15740"
"gt-730","21710"
"gtx-1050-ti","68760"
"gtx-1650","103090"
"gtx-1650-super","130051"
"gtx-1660","133469"
"gtx-1660-super","157090"
"gtx-1660-ti","156110"
"p1000","129900"
"p2000","188030"
"p2200","198790"
"p400","44860"
"p4000","352920"
"p620","71950"
"r7-240","32620"
"rtx-2060","171540"
"rtx-2060-super","202950"
"rtx-2080-super","484400"
"rtx-3060","244900"
"rtx-3060-ti","270120"
"rtx-3070","324900"
"rtx-3070-ti","382305"
"rtx-3080","489900"
"rtx-3080-ti","578900"
"rtx-3090","797990"
"rtx-5000","734110"
"rtx-6000","1589600"
"rtx-8000","2547790"
"rx-550","52741"
"rx-5500-xt","220210"
"rx-560","69890"
"rx-5600-xt","311144"
"rx-570","109900"
"rx-5700-xt","377460"
"rx-580","182310"
"rx-6700-xt","298799"
"rx-6800","449900"
"rx-6800-xt","446520"
"rx-6900-xt","533610"
"wx-2100","63390"
"wx-3100","145600"
"wx-8200","473680"
