"Name","Value"
"210","14884"
"a380","57650"
"a750","96690"
"a770","116690"
"gt-1030","30300"
"gt-710","16200"
"gt-730","20580"
"gtx-1050-ti","64560"
"gtx-1060","75735"
"gtx-1630","48900"
"gtx-1650","58900"
"gtx-1660","92990"
"gtx-1660-super","91480"
"gtx-1660-ti","105183"
"p1000","128228"
"p2000","236390"
"p2200",
"p400","43760"
"r7-240","30860"
"rtx-2060","96838"
"rtx-2060-super","210730"
"rtx-3050","89040"
"rtx-3060","111420"
"rtx-3060-ti","133290"
"rtx-3070","169810"
"rtx-3070-ti","205550"
"rtx-3080","252050"
"rtx-3080-ti","306104"
"rtx-3090","461791"
"rtx-4000","559815"
"rtx-4060","123800"
"rtx-4060-ti","163290"
"rtx-4070","245190"
"rtx-4070-ti","330610"
"rtx-4080","468900"
"rtx-4090","656670"
"rtx-5000","837610"
"rtx-a2000","207010"
"rtx-a4000","428680"
"rtx-a4500","472330"
"rtx-a5000","898210"
"rtx-a6000","2016920"
"rx-550","31070"
"rx-560","34210"
"rx-580","149990"
"rx-6400","55750"
"rx-6500-xt","67310"
"rx-6600","82190"
"rx-6600-xt","156023"
"rx-6650-xt","80689"
"rx-6700","122250"
"rx-6700-xt","137990"
"rx-6750-xt","156830"
"rx-6800","208090"
"rx-6800-xt","227570"
"rx-6900-xt","305801"
"rx-6950-xt","313330"
"rx-7600","110090"
"rx-7900-xt","341540"
"rx-7900-xtx","409990"
"w7800","1089190"
"w7900","1742890"
"wx-3100","109899"
"wx-3200","74900"
"wx-5100","107757"
"wx-7100","357000"
"wx-8200","435009"
