"Name","Value"
"210","15700"
"gt-1030","31623"
"gt-710","22080"
"gt-730","25400"
"gtx-1050-ti","73078"
"gtx-1060","193750"
"gtx-1650","83990"
"gtx-1650-super","145800"
"gtx-1660","119999"
"gtx-1660-super","126662"
"gtx-1660-ti","124490"
"p1000","130790"
"p2000","231134"
"p2200","274900"
"p400","44860"
"p620","73480"
"r7-240","46786"
"rtx-2060","146467"
"rtx-2060-super","219700"
"rtx-3050","139490"
"rtx-3060","178260"
"rtx-3060-ti","223220"
"rtx-3070","266076"
"rtx-3070-ti","305390"
"rtx-3080","382310"
"rtx-3080-ti","486690"
"rtx-3090","723390"
"rtx-3090-ti","832490"
"rtx-4000","393581"
"rtx-5000","753794"
"rtx-6000","2185900"
"rtx-8000","2871226"
"rx-550","51960"
"rx-5500-xt","246940"
"rx-560","66990"
"rx-570","245610"
"rx-580","140569"
"rx-6400","69000"
"rx-6500-xt","82690"
"rx-6600","141000"
"rx-6600-xt","169990"
"rx-6650-xt","158890"
"rx-6700-xt","208930"
"rx-6750-xt","204999"
"rx-6800","332000"
"rx-6800-xt","383000"
"rx-6900-xt","359990"
"rx-6950-xt","393703"
"wx-2100","63790"
"wx-3100","98900"
"wx-3200","69999"
"wx-5100","214150"
