"Name","Value"
"210","14740"
"a310","45703"
"a380","52490"
"a580","73990"
"a750","78990"
"a770","118690"
"gt-1030","27990"
"gt-210","12670"
"gt-610","14680"
"gt-710","15800"
"gt-730","20070"
"gtx-1050-ti","70210"
"gtx-1630",
"gtx-1650","57740"
"gtx-1660","99995"
"gtx-1660-super","174900"
"gtx-1660-ti","100120"
"p1000","128120"
"p2000","233072"
"p2200","200016"
"p400","77356"
"r7-240","29000"
"rtx-2000","320250"
"rtx-2060","125995"
"rtx-3050","74800"
"rtx-3060","108680"
"rtx-3060-ti","149830"
"rtx-3070","199990"
"rtx-3070-ti","196200"
"rtx-3080","313585"
"rtx-3080-ti","343900"
"rtx-3090","750000"
"rtx-4000","468003"
"rtx-4060","120900"
"rtx-4060-ti","152990"
"rtx-4070","225000"
"rtx-4070-super","245540"
"rtx-4070-ti","285890"
"rtx-4070-ti-super","346050"
"rtx-4080","436680"
"rtx-4080-super","440730"
"rtx-4090","694480"
"rtx-4500","1221290"
"rtx-5000","799999"
"rtx-6000","1289056"
"rtx-8000","2877727"
"rtx-a1000","183910"
"rtx-a2000","230480"
"rtx-a4000","475398"
"rtx-a4500","810459"
"rtx-a5000","1102690"
"rtx-a5500","2380350"
"rtx-a6000","2065790"
"rx-550","30800"
"rx-5500-xt","87939"
"rx-560","48590"
"rx-570","80910"
"rx-6400","51800"
"rx-6500-xt","62136"
"rx-6600","81708"
"rx-6600-xt","159990"
"rx-6650-xt","106290"
"rx-6700-xt","155000"
"rx-6750-xt","149990"
"rx-6800","163790"
"rx-6800-xt","209989"
"rx-7600","106990"
"rx-7600-xt","133590"
"rx-7700-xt","176906"
"rx-7800-xt","208900"
"rx-7900","248440"
"rx-7900-gre","240000"
"rx-7900-xt","304900"
"rx-7900-xtx","395000"
"t1000","133080"
"t400","53900"
"t600","138181"
"w5500","153726"
"w5700","101850"
"w6400","88990"
"w6600","118990"
"w6800","662540"
"w7500","188460"
"w7600","261020"
"w7800","1024880"
"w7900","1605580"
"wx-2100","91410"
"wx-3100","163782"
"wx-3200","56890"
"wx-5100","140912"
"wx-7100","381189"
"wx-8200","279040"
