"Name","Value"
"210","21290"
"gt-1030","32900"
"gt-710","27901"
"gt-730","26810"
"gtx-1050-ti","81090"
"gtx-1060","193750"
"gtx-1650","89990"
"gtx-1650-super","156990"
"gtx-1660","156700"
"gtx-1660-super","172900"
"gtx-1660-ti","160100"
"p1000","127290"
"p2000","197689"
"p2200","247070"
"p400","42090"
"p620","67620"
"r7-240","48020"
"rtx-2060","196600"
"rtx-3050","197090"
"rtx-3060","244790"
"rtx-3060-ti","284862"
"rtx-3070","346020"
"rtx-3070-ti","399900"
"rtx-3080","500490"
"rtx-3080-ti","648010"
"rtx-3090","956950"
"rtx-4000","348100"
"rtx-5000","734690"
"rtx-6000","1475880"
"rtx-8000","2746882"
"rx-550","47990"
"rx-560","92130"
"rx-580","199900"
"rx-6500-xt","105000"
"rx-6600","183000"
"rx-6600-xt","210100"
"rx-6700-xt","315500"
"rx-6800","420600"
"rx-6800-xt","479900"
"rx-6900-xt","540400"
"wx-2100","106056"
"wx-3200","88300"
