"Name","Value"
"210","14820"
"a310","40990"
"a380","50560"
"a580","78310"
"a750","79900"
"a770","104180"
"gt-1030","27440"
"gt-210","12720"
"gt-610","15500"
"gt-710","15300"
"gt-730","19400"
"gtx-1050-ti","70486"
"gtx-1630","59390"
"gtx-1650","60544"
"gtx-1660","90000"
"gtx-1660-super","123900"
"gtx-1660-ti","88600"
"p1000","125109"
"p2200","206469"
"p400","92833"
"r7-240","31100"
"rtx-2000","306590"
"rtx-2060","125995"
"rtx-3050","75490"
"rtx-3060","106990"
"rtx-3060-ti","150210"
"rtx-3070","208776"
"rtx-3070-ti","229990"
"rtx-3090","450000"
"rtx-4000","299999"
"rtx-4060","124831"
"rtx-4060-ti","155900"
"rtx-4070","227890"
"rtx-4070-super","251990"
"rtx-4070-ti","311940"
"rtx-4070-ti-super","345999"
"rtx-4080","415999"
"rtx-4080-super","447150"
"rtx-4090","760828"
"rtx-4500","1209000"
"rtx-5000","699620"
"rtx-6000","2006848"
"rtx-8000","2833717"
"rtx-a1000","185850"
"rtx-a2000","230480"
"rtx-a4000","431610"
"rtx-a4500","872099"
"rtx-a5000","1026880"
"rtx-a6000","1990220"
"rx-550","30900"
"rx-5500-xt","90566"
"rx-560","49350"
"rx-570","82757"
"rx-580","72435"
"rx-6400","49100"
"rx-6500-xt","62510"
"rx-6600","83360"
"rx-6600-xt","159990"
"rx-6650-xt","105890"
"rx-6700-xt","179076"
"rx-6750-xt","141990"
"rx-6800","164490"
"rx-6800-xt","202860"
"rx-6950-xt","267920"
"rx-7600","112900"
"rx-7600-xt","138939"
"rx-7700-xt","172376"
"rx-7800-xt","209390"
"rx-7900-gre","242890"
"rx-7900-xt","306540"
"rx-7900-xtx","396991"
"t1000","134468"
"t400","64460"
"t600","307896"
"w5500","147390"
"w5700","96148"
"w6400","82990"
"w6600","343797"
"w7500","164990"
"w7600","239990"
"w7700","413990"
"w7800","896550"
"w7900","1415130"
"wx-3100","105621"
"wx-3200","52578"
"wx-5100","158980"
"wx-7100","374362"
