"Name","Value"
"210","13630"
"gt-1030","25380"
"gt-710","12020"
"gt-730","18990"
"gtx-1050","54990"
"gtx-1050-ti","49199"
"gtx-1060","179924"
"gtx-1070","179990"
"gtx-1650","52990"
"gtx-1650-super","65900"
"gtx-1660","89990"
"gtx-1660-super","91900"
"gtx-1660-ti","112070"
"p1000","117296"
"p2000","173580"
"p2200","168420"
"p4000","303070"
"p620","70450"
"r7-240","26420"
"rtx-2060","135900"
"rtx-2080-super","242820"
"rtx-2080-ti","499990"
"rtx-3060-ti","256990"
"rtx-3070","293990"
"rtx-3080","447990"
"rtx-3090","641390"
"rtx-4000","339049"
"rtx-5000","786520"
"rtx-6000","1800749"
"rx-550","26190"
"rx-5500-xt","76590"
"rx-5600","157350"
"rx-5600-xt","131690"
"rx-570","65400"
"rx-5700","145900"
"rx-5700-xt","199900"
"rx-580","77990"
"rx-6800","416090"
"rx-vega-56","161710"
"wx-2100","55190"
"wx-3100","68090"
"wx-3200","71250"
"wx-4100","106990"
"wx-5100","152280"
"wx-8200","401890"
