"Name","Value"
"210","13300"
"gt-1030","28640"
"gt-710","12810"
"gt-730","21580"
"gtx-1050-ti","72990"
"gtx-1060","169762"
"gtx-1650","84990"
"gtx-1650-super","180100"
"gtx-1660","182000"
"gtx-1660-super","218990"
"p1000","120594"
"p2000","156590"
"p2200","157900"
"p400","41750"
"p4000","314050"
"p620","65900"
"r7-240","32310"
"rtx-2060","279990"
"rtx-3060","298899"
"rtx-3070","499999"
"rtx-3080","839990"
"rtx-3090","1050000"
"rtx-4000","353760"
"rtx-5000","751440"
"rtx-6000","2074459"
"rx-550","36000"
"rx-5700-xt","459000"
"rx-580","234990"
"rx-6800","539990"
"rx-6800-xt","588869"
"rx-6900-xt","619990"
"wx-2100","55490"
"wx-3100","172284"
"wx-3200","79710"
