"Name","Value"
"210","13580"
"gt-1030","25320"
"gt-710","11930"
"gt-730","19850"
"gtx-1050","54990"
"gtx-1050-ti","58990"
"gtx-1060","179924"
"gtx-1070","179990"
"gtx-1650","57900"
"gtx-1650-super","65900"
"gtx-1660","76900"
"gtx-1660-super","110900"
"gtx-1660-ti","118140"
"p1000","117900"
"p2000","170150"
"p2200","164440"
"p4000","298409"
"p620","72320"
"r7-240","26160"
"rtx-2060","135900"
"rtx-2080-super","242820"
"rtx-2080-ti","499990"
"rtx-3060-ti","269990"
"rtx-3070","299000"
"rtx-3080","489990"
"rtx-3090","735330"
"rtx-4000","336027"
"rtx-5000","786520"
"rtx-6000","1778398"
"rx-550","28900"
"rx-5500-xt","76590"
"rx-5600","177000"
"rx-5600-xt","131690"
"rx-570","63900"
"rx-5700","145900"
"rx-5700-xt","266680"
"rx-580","110990"
"rx-6800","389900"
"wx-2100","52780"
"wx-3100","67490"
"wx-3200","67390"
"wx-4100","103990"
"wx-5100","152230"
"wx-7100","285013"
"wx-8200","394310"
