"Name","Value"
"210","19580"
"gt-1030","38930"
"gt-710","20999"
"gt-730","28220"
"gtx-1050-ti","110134"
"gtx-1060","168590"
"gtx-1650","131995"
"gtx-1650-super","199995"
"gtx-1660","204989"
"gtx-1660-super","249900"
"gtx-1660-ti","239900"
"p1000","130098"
"p2000","222630"
"p2200","201340"
"p400","46510"
"p620","67840"
"rtx-2060","277660"
"rtx-2060-super","440042"
"rtx-3060","341220"
"rtx-3060-ti","395230"
"rtx-3070","349628"
"rtx-3070-ti","569900"
"rtx-3080","576440"
"rtx-3080-ti","899990"
"rtx-3090","1357664"
"rtx-4000","390200"
"rtx-5000","771050"
"rtx-6000","1539350"
"rx-550","76995"
"rx-560","96500"
"rx-580","324640"
"rx-6600","269990"
"rx-6600-xt","312500"
"rx-6700-xt","466080"
"rx-6800","683006"
"rx-6800-xt","685630"
"rx-6900-xt","631180"
"wx-2100","130028"
"wx-7100","519139"
