"Name","Value"
"210","15525"
"gt-1030","39990"
"gt-710","21530"
"gt-730","26410"
"gtx-1050-ti","72640"
"gtx-1060","193750"
"gtx-1650","83990"
"gtx-1650-super","145800"
"gtx-1660","129602"
"gtx-1660-super","132507"
"gtx-1660-ti","123600"
"p1000","139877"
"p2000","214700"
"p2200","279500"
"p400","47380"
"p620","73480"
"r7-240","46786"
"rtx-2060","148406"
"rtx-2060-super","229180"
"rtx-3050","140100"
"rtx-3060","189000"
"rtx-3060-ti","233990"
"rtx-3070","269858"
"rtx-3070-ti","317090"
"rtx-3080","300390"
"rtx-3080-ti","531860"
"rtx-3090","753310"
"rtx-3090-ti","849999"
"rtx-4000","383290"
"rtx-5000","759714"
"rtx-6000","2158900"
"rtx-8000","3155307"
"rx-550","48900"
"rx-5500-xt","254768"
"rx-560","66990"
"rx-570","242938"
"rx-580","174868"
"rx-6400","72050"
"rx-6500-xt","83860"
"rx-6600","149990"
"rx-6600-xt","179989"
"rx-6650-xt","193719"
"rx-6700-xt","228244"
"rx-6750-xt","266290"
"rx-6800","346780"
"rx-6800-xt","393690"
"rx-6900-xt","415260"
"rx-6950-xt","516700"
"wx-2100","63690"
"wx-3100","98000"
"wx-3200","96000"
"wx-5100","213000"
