"Name","Value"
"210","16493"
"a380","46990"
"a580","75170"
"a750","105050"
"a770","132400"
"gt-1030","29286"
"gt-710","17310"
"gt-730","19170"
"gtx-1050-ti","89995"
"gtx-1630","47100"
"gtx-1650","64999"
"gtx-1660","97990"
"gtx-1660-super","98890"
"gtx-1660-ti","139990"
"p1000","114940"
"p2000","235975"
"p400","57901"
"r7-240","30653"
"rtx-2060","114900"
"rtx-2060-super","232860"
"rtx-3050","92257"
"rtx-3060","112446"
"rtx-3060-ti","115912"
"rtx-3070","199995"
"rtx-3070-ti","262870"
"rtx-3080","296421"
"rtx-3080-ti","429990"
"rtx-3090","699990"
"rtx-4000","612017"
"rtx-4060","117800"
"rtx-4060-ti","169999"
"rtx-4070","234999"
"rtx-4070-ti","299999"
"rtx-4080","486090"
"rtx-4090","763990"
"rtx-a2000","198714"
"rtx-a4000","408210"
"rtx-a4500","442831"
"rtx-a5000","1021150"
"rtx-a6000","2236898"
"rx-550","32370"
"rx-560","44990"
"rx-580","124900"
"rx-6400","51100"
"rx-6500-xt","67600"
"rx-6600","82390"
"rx-6600-xt","159990"
"rx-6700","113440"
"rx-6700-xt","135000"
"rx-6750-xt","148290"
"rx-6800","173090"
"rx-6800-xt","225500"
"rx-6900-xt","222999"
"rx-7600","114990"
"rx-7700-xt","186251"
"rx-7800-xt","222670"
"rx-7900","251890"
"rx-7900-xt","318870"
"rx-7900-xtx","407940"
"w7600","259991"
"w7800","970036"
"w7900","1602102"
"wx-3200","74990"
