"Name","Value"
"210","12090"
"gt-1030","26100"
"gt-710","12307"
"gt-730","20080"
"gtx-1050","54990"
"gtx-1050-ti","58558"
"gtx-1060","174701"
"gtx-1650","73170"
"gtx-1650-super","109900"
"gtx-1660","85366"
"gtx-1660-super","132990"
"gtx-1660-ti","102246"
"p1000","122961"
"p2000","173300"
"p2200","168410"
"p4000","274900"
"p620","71730"
"r7-240","27840"
"rtx-2060","112436"
"rtx-2070-super","189930"
"rtx-2080-super","309451"
"rtx-2080-ti","499990"
"rtx-3060-ti",
"rtx-3070","339900"
"rtx-3080","559990"
"rtx-3090","769990"
"rtx-4000","354211"
"rtx-5000","786520"
"rtx-6000","2490720"
"rx-550","26895"
"rx-5500-xt","118900"
"rx-5600","207506"
"rx-580",
"rx-6800","409990"
"wx-2100","52590"
"wx-3100","79190"
"wx-3200","67190"
"wx-4100","104990"
"wx-5100","146090"
"wx-7100","283962"
"wx-8200","403680"
