"Name","Value"
"210","15790"
"a380","58500"
"a750","98500"
"a770","115990"
"gt-1030","31000"
"gt-710","16590"
"gt-730","21050"
"gtx-1050-ti","69990"
"gtx-1630","52890"
"gtx-1650","59990"
"gtx-1660","96000"
"gtx-1660-super","88990"
"gtx-1660-ti","110112"
"p1000","131050"
"p2000","235029"
"p2200","414664"
"p400","49280"
"r7-240","31405"
"rtx-2060","109790"
"rtx-2060-super","216060"
"rtx-3050","92999"
"rtx-3060","114910"
"rtx-3060-ti","144890"
"rtx-3070","169990"
"rtx-3070-ti","219750"
"rtx-3080","280277"
"rtx-3080-ti","569900"
"rtx-3090","721990"
"rtx-4000","560055"
"rtx-4060","122990"
"rtx-4060-ti","157507"
"rtx-4070","254990"
"rtx-4070-ti","330610"
"rtx-4080","489990"
"rtx-4090","689990"
"rtx-a2000","211600"
"rtx-a4000","212662"
"rtx-a4500","520590"
"rtx-a5000","956679"
"rtx-a6000","2075299"
"rx-550","31337"
"rx-560","40900"
"rx-580","124900"
"rx-6400","52999"
"rx-6500-xt","68520"
"rx-6600","87440"
"rx-6600-xt","156023"
"rx-6650-xt","98437"
"rx-6700","122590"
"rx-6700-xt","137160"
"rx-6750-xt","159780"
"rx-6800","207590"
"rx-6800-xt","229969"
"rx-6900-xt","283990"
"rx-6950-xt","301050"
"rx-7600","111760"
"rx-7700-xt","194590"
"rx-7800-xt","234690"
"rx-7900-xt","349490"
"rx-7900-xtx","438099"
"w7800","1115290"
"w7900","1857858"
"wx-3200","74240"
"wx-5100","110335"
