"Name","Value"
"210","15750"
"a310","42880"
"a380","53900"
"a580","77990"
"a750","92590"
"a770","126029"
"gt-1030","27590"
"gt-210","13130"
"gt-610","15930"
"gt-710","17100"
"gt-730","20810"
"gtx-1050-ti","70910"
"gtx-1650","54490"
"gtx-1660","117995"
"gtx-1660-super","106560"
"gtx-1660-ti","105700"
"p1000","118990"
"p2000","227833"
"p2200","287586"
"p400","75617"
"r7-240","29590"
"rtx-2000","323300"
"rtx-2060","129995"
"rtx-2060-super","228990"
"rtx-3050","77350"
"rtx-3060","109990"
"rtx-3060-ti","152390"
"rtx-3070","196490"
"rtx-3070-ti","195980"
"rtx-3080","321711"
"rtx-3080-ti","350570"
"rtx-3090","506672"
"rtx-3090-ti","567589"
"rtx-4000","469477"
"rtx-4060","125480"
"rtx-4060-ti","153990"
"rtx-4070","226890"
"rtx-4070-super","255790"
"rtx-4070-ti","297970"
"rtx-4070-ti-super","346900"
"rtx-4080","433970"
"rtx-4080-super","450690"
"rtx-4090","763690"
"rtx-4500","1235890"
"rtx-5000","947417"
"rtx-6000","1275672"
"rtx-8000","2982234"
"rtx-a2000","220080"
"rtx-a4000","463894"
"rtx-a4500","818528"
"rtx-a5000","1086471"
"rtx-a5500","2266745"
"rtx-a6000","2146650"
"rx-550","30990"
"rx-5500-xt","87138"
"rx-560","49140"
"rx-570","80190"
"rx-580","51710"
"rx-6400","50820"
"rx-6500-xt","61560"
"rx-6600","81790"
"rx-6600-xt","141480"
"rx-6650-xt","119890"
"rx-6700","126990"
"rx-6700-xt","158290"
"rx-6750-xt","152999"
"rx-6800","163790"
"rx-6800-xt","199990"
"rx-6900-xt","254999"
"rx-6950-xt","387758"
"rx-7600","112280"
"rx-7600-xt","145430"
"rx-7700-xt","181290"
"rx-7800-xt","207990"
"rx-7900","234990"
"rx-7900-gre","247970"
"rx-7900-xt","311850"
"rx-7900-xtx","413400"
"t1000","133790"
"t400","52901"
"t600","135802"
"w5500","148590"
"w5700","109026"
"w6400","88990"
"w6600","118990"
"w6800","643261"
"w7500","190510"
"w7600","264855"
"w7800","1037580"
"w7900","1625490"
"wx-2100","89355"
"wx-3100","108214"
"wx-3200","57510"
"wx-5100","140578"
"wx-7100","384406"
"wx-8200","303950"
