"Name","Value"
"210","13630"
"gt-1030","25230"
"gt-710","11490"
"gt-730","19640"
"gtx-1050","51480"
"gtx-1050-ti","55190"
"gtx-1060","90330"
"gtx-1070","179990"
"gtx-1650","59900"
"gtx-1650-super","65900"
"gtx-1660","89990"
"gtx-1660-super","91900"
"gtx-1660-ti","128990"
"p1000","115460"
"p2000","170980"
"p2200","165890"
"p4000","298520"
"p620","70450"
"r7-240","25780"
"rtx-2060","135900"
"rtx-2080-super","242820"
"rtx-2080-ti","499990"
"rtx-3060-ti","256990"
"rtx-3070","257590"
"rtx-3080","470056"
"rtx-3090","641390"
"rtx-4000","339049"
"rtx-5000","774720"
"rtx-6000","1779913"
"rx-550","22290"
"rx-5500-xt","76590"
"rx-5600","157790"
"rx-5600-xt","131690"
"rx-570","64880"
"rx-5700","145900"
"rx-5700-xt","199000"
"rx-580","81990"
"rx-6800","415460"
"rx-vega-56","161710"
"wx-2100","54990"
"wx-3100","67790"
"wx-3200","71250"
"wx-4100","106990"
"wx-5100","152280"
"wx-8200","401890"
