"Name","Value"
"210","13890"
"gt-1030","27290"
"gt-710","12300"
"gt-730","19000"
"gtx-1050-ti","57065"
"gtx-1060","174701"
"gtx-1650","79990"
"gtx-1650-super","115900"
"gtx-1660","123900"
"gtx-1660-super","108738"
"gtx-1660-ti","169900"
"m4000","304699"
"p1000","121000"
"p2000","170410"
"p2200","169280"
"p4000","274900"
"p620","69370"
"r7-240","28080"
"rtx-2060","209990"
"rtx-2080-ti","449990"
"rtx-3060-ti","362990"
"rtx-3070","349999"
"rtx-3080","684101"
"rtx-3090","799990"
"rtx-4000","344058"
"rtx-5000","950001"
"rtx-6000","2547270"
"rx-550","30349"
"rx-5500-xt","109990"
"rx-5700","354330"
"rx-580","128000"
"rx-6800","389990"
"rx-6900-xt","569990"
"wx-2100","52990"
"wx-3100","168006"
"wx-3200","70590"
"wx-4100","107890"
"wx-5100","147190"
"wx-7100","282421"
"wx-8200","420730"
