"Name","Value"
"210","12070"
"gt-1030","29899"
"gt-710","11179"
"gt-730","21100"
"gtx-1050-ti","69899"
"gtx-1060","169762"
"gtx-1650","78600"
"gtx-1650-super","130890"
"gtx-1660","177222"
"gtx-1660-super","202590"
"gtx-1660-ti",
"p1000","120120"
"p2000","154330"
"p2200","155900"
"p400","41350"
"p4000","306180"
"p620","65270"
"r7-240","27870"
"rtx-2060","249990"
"rtx-3060-ti","545990"
"rtx-3070","559000"
"rtx-3080",
"rtx-4000","359810"
"rtx-5000","839200"
"rtx-6000","2032640"
"rtx-8000","2950320"
"rx-550","35500"
"rx-570","228840"
"rx-5700-xt","475030"
"rx-580","134042"
"rx-6800","539990"
"rx-6800-xt","622712"
"rx-6900-xt","639990"
"wx-2100","52990"
"wx-3100",
"wx-3200","76400"
"wx-4100","119290"
