"Name","Value"
"210","17320"
"gt-1030","40400"
"gt-710","22830"
"gt-730","26999"
"gtx-1050-ti","77565"
"gtx-1060","193750"
"gtx-1650","89990"
"gtx-1650-super","145800"
"gtx-1660","124990"
"gtx-1660-super","122900"
"gtx-1660-ti","125995"
"p1000","135240"
"p2000","226260"
"p2200","270700"
"p400","43900"
"p620","71900"
"r7-240","46786"
"rtx-2060","140640"
"rtx-2060-super","215990"
"rtx-3050","136590"
"rtx-3060","180790"
"rtx-3060-ti","222992"
"rtx-3070","260396"
"rtx-3070-ti","298420"
"rtx-3080","379410"
"rtx-3080-ti","451300"
"rtx-3090","551920"
"rtx-3090-ti","649560"
"rtx-4000","387700"
"rtx-5000","759714"
"rtx-8000","2855562"
"rx-550","49010"
"rx-560","66990"
"rx-580","100345"
"rx-6400","71890"
"rx-6500-xt","81810"
"rx-6600","135396"
"rx-6600-xt","164407"
"rx-6650-xt","187600"
"rx-6700-xt","211490"
"rx-6750-xt","246700"
"rx-6800","308060"
"rx-6800-xt","342830"
"rx-6900-xt","350350"
"rx-6950-xt","501620"
"wx-2100","82810"
"wx-3100","107390"
"wx-3200","104663"
"wx-4100","131790"
"wx-5100","232900"
